"Name","Status","Description","References","Phase","Votes","Comments"
CVE-1999-0459,Candidate,"Local users can perform a denial of service in Alpha Linux, using MILO to force a reboot.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0459   |   XF:linux-milo-halt",Proposed (19990728),"   ACCEPT(1) Frech  |     NOOP(2) Baker, Northcutt  |     REJECT(1) Wall","Wall> Reject based on beta copy."
CVE-1999-0460,Candidate,"Buffer overflow in Linux autofs module through long directory names allows local users to perform a denial of service.","BID:312   |   URL:http://www.securityfocus.com/bid/312   |   BUGTRAQ:19990218 Linux autofs overflow in 2.0.36+",Proposed (19990726),"   ACCEPT(2) Baker, Ozancin  |     MODIFY(1) Frech  |     NOOP(1) Wall","CHANGE> [Frech changed vote from REVIEWING to MODIFY]  |    Frech> XF:linux-autofs-bo(8365)"
CVE-1999-0461,Candidate,"Versions of rpcbind including Linux, IRIX, and Wietse Venema's rpcbind allow a remote attacker to insert and delete entries by spoofing a source address.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0461",Proposed (19990728),"   MODIFY(1) Frech  |     RECAST(1) Baker  |     REVIEWING(1) Christey","Frech> ADDREF XF:pmap-sset  |    Christey> CVE-1999-0195 = CVE-1999-0461 ?  |    If this is approved over CVE-1999-0195, make sure it gets  |    XF:pmap-sset  |    Baker> THis does appear to be a duplicate.  We should accept 1999-0195, since it already has the votes and get rid of this one"
CVE-1999-0462,Candidate,"suidperl in Linux Perl does not check the nosuid mount option on file systems, allowing local users to gain root access by placing a setuid script in a mountable file system, e.g. a CD-ROM or floppy disk.","BID:339   |   URL:http://www.securityfocus.com/bid/339   |   BUGTRAQ:19990114 Secuity hole with perl (suidperl) and nosuid mounts on Linux",Proposed (19990728),"   ACCEPT(1) Baker  |     MODIFY(1) Frech  |     NOOP(1) Christey","Frech> XF:perl-suidperl-bo  |    Christey> XF:perl-suidperl-bo doesn't exist."
CVE-1999-0463,Entry,"Remote attackers can perform a denial of service using IRIX fcagent.","SGI:19981201-01-PX   |   URL:ftp://patches.sgi.com/support/free/security/advisories/19981201-01-PX   |   XF:sgi-fcagent-dos",,"",""
CVE-1999-0464,Entry,"Local users can perform a denial of service in Tripwire 1.2 and earlier using long filenames.","BUGTRAQ:19990104 Tripwire mess..   |   URL:http://marc.info/?l=bugtraq&m=91553066310826&w=2   |   CONFIRM:http://marc.info/?l=bugtraq&m=91592136122066&w=2   |   OSVDB:6609   |   URL:http://www.osvdb.org/6609",,"",""
CVE-1999-0465,Candidate,"Remote attackers can crash Lynx and Internet Explorer using an IMG tag with a large width parameter.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0465   |   XF:http-img-overflow",Proposed (19990728),"   ACCEPT(2) Frech, Northcutt  |     NOOP(1) Baker  |     REJECT(2) LeBlanc, Wall","Wall> Reject based on client-side DoS  |    LeBlanc> Client side DOS"
CVE-1999-0466,Entry,"The SVR4 /dev/wabi special device file in NetBSD 1.3.3 and earlier allows a local user to read or write arbitrary files on the disk associated with that device.","NETBSD:1999-009   |   OSVDB:905   |   URL:http://www.osvdb.org/905",,"",""
CVE-1999-0467,Candidate,"The Webcom CGI Guestbook programs wguest.exe and rguest.exe allow a remote attacker to read arbitrary files using the ""template"" parameter.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0467   |   NTBUGTRAQ:19990409 Webcom's CGI Guestbook for Win32 web servers   |   XF:http-cgi-webcom-guestbook",Modified (20000106),"   ACCEPT(4) Blake, Frech, Landfield, Ozancin  |     NOOP(3) Baker, Christey, Northcutt","Christey> CVE-1999-0287 is probably a duplicate of CVE-1999-0467.  In  |    NTBUGTRAQ:19990409 Webcom's CGI Guestbook for Win32 web servers  |    Mnemonix says that he had previously reported on a similar  |    problem.  Let's refer to the NTBugtraq posting as  |    CVE-1999-0467.  We will refer to the ""previous report"" as  |    CVE-1999-0287, which can be found at:  |    http://oliver.efri.hr/~crv/security/bugs/NT/httpd41.html  |      |    0287 describes an exploit via the ""template"" hidden variable.  |    The exploit describes manually editing the HTML form to  |    change the filename to read from the template variable.  |      |    The exploit as described in 0467 encodes the template variable  |    directly into the URL.  However, hidden variables are also  |    encoded into the URL, which would have looked the same to  |    the web server regardless of the exploit.  Therefore 0287  |    and 0467 are the same.  |    Christey>    |    The CD:SF-EXEC content decision also applies here.  We have 2  |    programs, wguest.exe and rguest.exe, which appear to have the  |    same problem.  CD:SF-EXEC needs to be accepted by the Editorial  |    Board before this candidate can be converted into a CVE  |    entry.  When finalized, CD:SF-EXEC will decide whether  |    this candidate should be split or not.  |    Christey> BID:2024"
CVE-1999-0468,Entry,"Internet Explorer 5.0 allows a remote server to read arbitrary files on the client's file system using the Microsoft Scriptlet Component.","BUGTRAQ:Apr9,1999   |   MS:MS99-012   |   URL:https://docs.microsoft.com/en-us/security-updates/securitybulletins/1999/ms99-012   |   XF:ie-scriplet-fileread",,"",""
CVE-1999-0469,Candidate,"Internet Explorer 5.0 allows window spoofing, allowing a remote attacker to spoof a legitimate web site and capture information from the client.","BUGTRAQ:19990409 IE 5.0 security vulnerabilities - %01 bug again   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0469   |   XF:ie-window-spoof",Proposed (19990728),"   ACCEPT(1) Wall  |     NOOP(2) Baker, Northcutt  |     REJECT(3) Christey, Frech, LeBlanc","Wall> Reference: Microsoft Security Bulletin MS99-012  |    Christey> DUPE CVE-1999-0488  |    Frech> Defer to Christey's vote.  |    However, XF:ie-mshtml-crossframe(2216) assigned to CVE-1999-0488.  |    LeBlanc> Duplicate"
CVE-1999-0470,Entry,"A weak encryption algorithm is used for passwords in Novell Remote.NLM, allowing them to be easily decrypted.","BID:482   |   URL:http://www.securityfocus.com/bid/482   |   BUGTRAQ:19990409 New Novell Remote.NLM Password Decryption Algorithm with Exploit   |   XF:netware-remotenlm-passwords",,"",""
CVE-1999-0471,Entry,"The remote proxy server in Winroute allows a remote attacker to reconfigure the proxy without authentication through the ""cancel"" button.","BUGTRAQ:Apr9,1999   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0471   |   XF:winroute-config",,"",""
CVE-1999-0472,Entry,"The SNMP default community name ""public"" is not properly removed in NetApps C630 Netcache, even if the administrator tries to disable it.","BUGTRAQ:Apr7,1999   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0472   |   XF:netcache-snmp",,"",""
CVE-1999-0473,Entry,"The rsync command before rsync 2.3.1 may inadvertently change the permissions of the client's working directory to the permissions of the directory being transferred.","BID:145   |   URL:http://www.securityfocus.com/bid/145   |   BUGTRAQ:19990407 rsync 2.3.1 release - security fix   |   CALDERA:CSSA-1999:010.0   |   DEBIAN:19990823   |   XF:rsync-permissions",,"",""
CVE-1999-0474,Entry,"The ICQ Webserver allows remote attackers to use .. to access arbitrary files outside of the user's personal directory.","BUGTRAQ:Apr5,1999   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0474   |   XF:icq-webserver-read",,"",""
CVE-1999-0475,Entry,"A race condition in how procmail handles .procmailrc files allows a local user to read arbitrary files available to the user who is running procmail.","BUGTRAQ:Apr5,1999   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0475   |   XF:procmail-race",,"",""
CVE-1999-0476,Candidate,"A weak encryption algorithm is used for passwords in SCO TermVision, allowing them to be easily decrypted by a local user.","BUGTRAQ:19990331 Potential vulnerability in SCO TermVision Windows 95 client   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0476   |   XF:sco-termvision-password",Proposed (19990721),"   ACCEPT(3) Baker, Frech, Ozancin  |     NOOP(3) LeBlanc, Northcutt, Wall",""
CVE-1999-0477,Candidate,"The Expression Evaluator in the ColdFusion Application Server allows a remote attacker to upload files to the server via openfile.cfm, which does not restrict access to the server properly.","BID:115   |   URL:http://www.securityfocus.com/bid/115   |   L0PHT:Cold Fusion App Server   |   XF:coldfusion-expression-evaluator",Modified (19991210),"   ACCEPT(4) Baker, Christey, Frech, Ozancin  |     REJECT(1) Wall","Wall> Duplicate of 0455  |    Christey> CVE-1999-0477 and CVE-1999-0455 were discovered at different  |    times.  Also, the attack was different.  So ""Same Attack"" and  |    ""Same Time of Discovery"" dictate that these should remain  |    separate."
CVE-1999-0478,Entry,"Denial of service in HP-UX sendmail 8.8.6 related to accepting connections.","HP:HPSBUX9904-097   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9904-097   |   XF:sendmail-headers-dos",,"",""
CVE-1999-0479,Entry,"Denial of service Netscape Enterprise Server with VirtualVault on HP-UX VVOS systems.","HP:HPSBUX9903-092   |   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9903-092   |   XF:netscape-server-dos",,"",""
CVE-1999-0480,Candidate,"Local attackers can conduct a denial of service in Midnight Commander 4.x with a symlink attack.","BUGTRAQ:19980315 Midnight Commander /tmp race   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0480",Modified (20000106),"   ACCEPT(1) Baker  |     MODIFY(1) Frech  |     NOOP(1) Christey","Frech> XF:midnight-commander-symlink-dos  |    Christey> XF:midnight-commander-symlink-dos(3505)"
CVE-1999-0481,Entry,"Denial of service in ""poll"" in OpenBSD.","OPENBSD:Mar22,1999   |   OSVDB:7556   |   URL:http://www.osvdb.org/7556",,"",""
CVE-1999-0482,Entry,"OpenBSD kernel crash through TSS handling, as caused by the crashme program.","OPENBSD:Mar21,1999   |   OSVDB:7557   |   URL:http://www.osvdb.org/7557",,"",""
CVE-1999-0483,Entry,"OpenBSD crash using nlink value in FFS and EXT2FS filesystems.","OPENBSD:Feb25,1999   |   OSVDB:6129   |   URL:http://www.osvdb.org/6129",,"",""
CVE-1999-0484,Entry,"Buffer overflow in OpenBSD ping.","OPENBSD:Feb23,1999   |   OSVDB:6130   |   URL:http://www.osvdb.org/6130",,"",""
CVE-1999-0485,Entry,"Remote attackers can cause a system crash through ipintr() in ipq in OpenBSD.","OPENBSD:Feb19,1999   |   OSVDB:7558   |   URL:http://www.osvdb.org/7558   |   XF:openbsd-ipintr-race",,"",""
CVE-1999-0486,Candidate,"Denial of service in AOL Instant Messenger when a remote attacker sends a malicious hyperlink to the receiving client, potentially causing a system crash.","BUGTRAQ:19990420 AOL Instant Messenger URL Crash   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0486",Modified (20000106),"   ACCEPT(1) Baker  |     MODIFY(1) Frech  |     NOOP(1) Christey","Frech> XF:aol-im.  |    Christey> XF:aol-im appears to be related to the problem discussed in  |    BUGTRAQ:19980224 AOL Instant Messanger Bug  |      |    This one is related to BUGTRAQ:19990420 AOL Instant Messenger URL Crash"
CVE-1999-0487,Entry,"The DHTML Edit ActiveX control in Internet Explorer allows remote attackers to read arbitrary files.","MS:MS99-011   |   URL:https://docs.microsoft.com/en-us/security-updates/securitybulletins/1999/ms99-011   |   XF:ie-dhtml-control",,"",""
CVE-1999-0488,Candidate,"Internet Explorer 4.0 and 5.0 allows a remote attacker to execute security scripts in a different security context using malicious URLs, a variant of the ""cross frame"" vulnerability.","MS:MS99-012   |   URL:https://docs.microsoft.com/en-us/security-updates/securitybulletins/1999/ms99-012",Modified (19991205),"   ACCEPT(2) Baker, Landfield  |     MODIFY(2) Frech, Wall  |     NOOP(2) Christey, Ozancin","Frech> XF:ie-mshtml-crossframe  |    Wall> (source: MSKB:Q168485)  |    Christey> CVE-1999-0469 appears to be a duplicate; prefer this one over  |    that one, since this one has an MS advisory.  Confirm with  |    Microsoft that these are really duplicates.  |      |    Also review CVE-1999-0487, which appears to be a similar  |    bug."
CVE-1999-0489,Candidate,"MSHTML.DLL in Internet Explorer 5.0 allows a remote attacker to paste a file name into the file upload intrinsic control, a variant of ""untrusted scripted paste"" as described in MS:MS98-013.","MS:MS99-015   |   URL:https://docs.microsoft.com/en-us/security-updates/securitybulletins/1999/ms99-015",Modified (19991205),"   ACCEPT(1) Levy  |     MODIFY(1) Wall  |     NOOP(2) Baker, Ozancin  |     RECAST(1) Prosser  |     REJECT(1) Christey  |     REVIEWING(1) Frech","Frech> Wasn't Untrusted scripted paste MS98-015? I can find no mention of a  |    clipboard in either.  |    I cannot proceed on this one without further clarification.  |    Wall> (source: MS:MS99-012)  |    Prosser> agree with Andre here.  The Untrusted Scripted paste  |    vulnerability was originally addressed in MS98-015 and it is in the file  |    upload intrinsic control in which an attacker can paste the name of a file  |    on the target's drive in the control and a form submission would then send  |    that file from the attacked machine to the remote web site.  This one has  |    nothing to do with the clipboard.  What the advisory mentioned here,  |    MS99-012, does is replace the MSHTML parsing engine which is supposed to fix  |    the original Untrusted Scripted Paste issue and a variant, as well as the  |    two Cross-Frame variants and a privacy issue in IMG SRC.    |    The vulnerability that allowed reading of a user's clipboard is the Forms  |    2.0 Active X control vulnerability discussed in MS99-01  |    Christey> The advisory should have been listed as MS99-012.    |    CVE-1999-0468 describes the untrusted scripted paste problem  |    in MS99-012.  |    Frech> Pending response to guidance request. 12/6/01."
CVE-1999-0490,Candidate,"MSHTML.DLL in Internet Explorer 5.0 allows a remote attacker to learn information about a local user's files via an IMG SRC tag.","MS:MS99-012   |   URL:https://docs.microsoft.com/en-us/security-updates/securitybulletins/1999/ms99-012",Modified (19991205),"   ACCEPT(2) Landfield, Wall  |     MODIFY(1) Frech  |     NOOP(2) Baker, Ozancin  |     REVIEWING(1) Christey","Frech> XF:ie-scriplet-fileread  |    Christey> Duplicate of CVE-1999-0347?"
CVE-1999-0491,Entry,"The prompt parsing in bash allows a local user to execute commands as another user by creating a directory with the name of the command to execute.","BID:119   |   URL:http://www.securityfocus.com/bid/119   |   BUGTRAQ:19990420 Bash Bug   |   URL:http://www.securityfocus.com/templates/archive.pike?list=1&msg=Pine.LNX.4.10.9904202114070.6623-100000@smooth.Operator.org   |   CALDERA:CSSA-1999-008.0   |   URL:ftp://ftp.calderasystems.com/pub/OpenLinux/security/CSSA-1999-008.0.txt",,"",""
CVE-1999-0492,Candidate,"The ffingerd 1.19 allows remote attackers to identify users on the target system based on its responses.","BUGTRAQ:Apr23,1999   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0492",Proposed (19990726),"   ACCEPT(3) Armstrong, Collins, Northcutt  |     MODIFY(4) Baker, Blake, Frech, Shostack  |     NOOP(4) Christey, Cole, Landfield, Wall  |     REVIEWING(1) Ozancin","Shostack> isn't that what finger is supposed to do?  |    Landfield> Maybe we need a new category of ""unsafe system utilities and protocols""  |    Blake> Ffingerd 1.19 allows remote attackers to differentiate valid and invalid  |    usernames on the target system based on its responses to finger queries.  |    Christey> CHANGEREF BUGTRAQ [canonicalize]  |    BUGTRAQ:19990423 Ffingerd privacy issues  |    http://marc.theaimsgroup.com/?l=bugtraq&m=92488772121313&w=2  |      |    Here's the nature of the problem.  |    (1) FFingerd allows users to decide not to be fingered,  |    printing a message ""That user does not want to be fingered""  |    (2) If the fingered user does not exist, then FFingerd's  |    intended default is to print that the user does not  |    want to be fingered; however, the error message has a  |    period at the end.  |    Thus, ffingerd can allow someone to determine who valid users  |    on the server are, *in spite of* the intended functionality of  |    ffingerd itself.  Thus this exposure should be viewed in light  |    of the intended functionality of the application, as opposed  |    to the common usage of the finger protocol in general.  |      |    Also, the vendor posted a followup and said that a patch was  |    available.  See:  |    http://marc.theaimsgroup.com/?l=bugtraq&m=92489375428016&w=2  |    Baker> Vulnerability Reference (HTML)	Reference Type  |    http://www.securityfocus.com/archive/1/13422	Misc Defensive Info  |    CHANGE> [Frech changed vote from REVIEWING to MODIFY]  |    Frech> XF:ffinger-user-info(5393)"
CVE-1999-0493,Entry,"rpc.statd allows remote attackers to forward RPC calls to the local operating system via the SM_MON and SM_NOTIFY commands, which in turn could be used to remotely exploit other bugs such as in automountd.","BID:450   |   URL:http://www.securityfocus.com/bid/450   |   BUGTRAQ:19990103 SUN almost has a clue! (automountd)   |   URL:http://marc.info/?l=bugtraq&m=91547759121289&w=2   |   CERT:CA-99-05   |   URL:http://www.cert.org/advisories/CA-99-05-statd-automountd.html   |   CIAC:J-045   |   URL:http://www.ciac.org/ciac/bulletins/j-045.shtml   |   SUN:00186   |   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/186&type=0&nav=sec.sba",,"",""
CVE-1999-0494,Entry,"Denial of service in WinGate proxy through a buffer overflow in POP3.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0494   |   XF:wingate-pop3-user-bo",,"",""
CVE-1999-0495,Candidate,"A remote attacker can gain access to a file system using ..  (dot dot) when accessing SMB shares.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/837",Proposed (19990728),"   ACCEPT(6) Baker, Blake, Cole, Collins, Northcutt, Ozancin  |     MODIFY(1) Frech  |     NOOP(4) Armstrong, Bishop, Landfield, Wall  |     REVIEWING(2) Christey, Levy","Frech> XF:nb-dotdotknown(837)  |    References would be appreciated. We've got no reference for this issue;  |    confidence rating is consequently low.   |    Levy> Some refernces:  |    http://www.securityfocus.com/archive/1/3894  |    http://www.securityfocus.com/archive/1/3533  |    http://www.securityfocus.com/archive/1/3535"
CVE-1999-0496,Entry,"A Windows NT 4.0 user can gain administrative rights by forcing NtOpenProcessToken to succeed regardless of the user's permissions, aka GetAdmin.","MSKB:Q146965   |   URL:http://support.microsoft.com/default.aspx?scid=kb;[LN];Q146965   |   XF:nt-getadmin   |   XF:nt-getadmin-present",,"",""
CVE-1999-0497,Candidate,"Anonymous FTP is enabled.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0497",Modified (20040811),"   ACCEPT(1) Shostack  |     MODIFY(1) Frech  |     NOOP(2) Baker, Christey  |     REJECT(1) Northcutt","Frech> ftp-anon(52) at http://xforce.iss.net/static/52.php  |    ftp-anon2(543) at http://xforce.iss.net/static/543.php  |    Christey> Add period to the end of the description.  |    Baker> DOn't know about this, but it may be the only easy way to allow access to data for some folks."
CVE-1999-0498,Candidate,"TFTP is not running in a restricted directory, allowing a remote attacker to access sensitive information such as password files.","CERT:CA-91.18.Active.Internet.tftp.Attacks   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0498",Modified (19990925),"   ACCEPT(3) Blake, Hill, Northcutt  |     MODIFY(1) Frech  |     NOOP(1) Baker  |     REVIEWING(1) Christey","Frech> XF:linux-tftp  |    Christey> XF:linux-tftp refers to CVE-1999-0183"
CVE-1999-0499,Candidate,"NETBIOS share information may be published through SNMP registry keys in NT.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0499",Proposed (19990721),"   ACCEPT(5) Baker, Northcutt, Ozancin, Shostack, Wall  |     MODIFY(1) Frech  |     REJECT(1) LeBlanc","Frech> Change wording to 'Windows NT.'  |    XF:snmp-netbios  |    LeBlanc> Share info can be obtained via SNMP queries, but I question  |    whether this is a vulnerability. The system can be configured not to do  |    this, and one may argue that SNMP itself is an insecure configuration.  |    Furthermore, the share information isn't published via registry keys -  |    the description could refer to more than one actual issue. SNMP is meant  |    to allow people to obtain information about systems. I'm willing to  |    discuss this with the rest of the board."
CVE-1999-0501,Candidate,"A Unix account has a guessable password.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0501",Proposed (19990714),"   ACCEPT(3) Baker, Northcutt, Shostack  |     RECAST(2) Frech, Meunier  |     REVIEWING(1) Christey","Frech> Guessable falls into the class of CVE-1999-0502, since I can guess a  |    default, null, etc. password.  |    Suggest changing to something like ""has an existing non-default password  |    that can be guessed.""  |    I'm also including default passwords in this entry.   |    In that vein, we show the following references:  |    XF:user-password  |    XF:passwd-username  |    XF:default-unix-sync  |    XF:default-unix-4dgifts  |    XF:default-unix-bin  |    XF:default-unix-daemon  |    XF:default-unix-lp  |    XF:default-unix-me  |    XF:default-unix-nuucp  |    XF:default-unix-root  |    XF:default-unix-toor  |    XF:default-unix-tour  |    XF:default-unix-tty  |    XF:default-unix-uucp  |    Christey> This candidate is affected by the CD:CF-PASS content decision,  |    which determines the appropriate level of abstraction to  |    use for password problems.  CD:CF-PASS needs to be accepted  |    by the Editorial Board before this candidate can be  |    converted into a CVE entry; the final version of CD:CF-PASS  |    may require using a different LOA than this candidate is  |    currently using.  |    CHANGE> [Meunier changed vote from ACCEPT to RECAST]  |    Meunier> This relates only to account password technology, so this candidate is  |    independent of the operating system, application, web site or other  |    application of this technology.  The appropriate (natural) level of  |    abstraction is therefore without specifying that it is for UNIX.  |    Change the description to ""An account has a guessable password other  |    than default, null, blank.""  This should satisfy Andre's objection.  |      |    This Candidate should be merged with any candidate relating to  |    account password technology where ""Unix"" in the original description  |    can be replaced by something else."
CVE-1999-0502,Candidate,"A Unix account has a default, null, blank, or missing password.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0502",Proposed (19990714),"   ACCEPT(4) Baker, Meunier, Northcutt, Shostack  |     MODIFY(1) Frech  |     REVIEWING(1) Christey","Frech> XF:passwd-blank  |    XF:no-pass  |    XF:dict  |    XF:sgi-accounts  |    XF:linux-caldera-lisa  |    Christey> This candidate is affected by the CD:CF-PASS content decision,  |    which determines the appropriate level of abstraction to  |    use for password problems.  CD:CF-PASS needs to be accepted  |    by the Editorial Board before this candidate can be  |    converted into a CVE entry; the final version of CD:CF-PASS  |    may require using a different LOA than this candidate is  |    currently using."
CVE-1999-0503,Candidate,"A Windows NT local user or administrator account has a guessable password.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0503",Proposed (19990714),"   ACCEPT(4) Baker, Meunier, Northcutt, Shostack  |     MODIFY(1) Frech  |     REVIEWING(1) Christey","Frech> Note: I am assuming that this entry includes Windows 2000 accounts and  |    machine/service accounts listed in User Manager.  |    XF:nt-guess-admin  |    XF:nt-guess-user  |    XF:nt-guess-guest  |    XF:nt-guessed-operpwd  |    XF:nt-guessed-powerwd  |    XF:nt-guessed-disabled  |    XF:nt-guessed-backup  |    XF:nt-guessed-acctoper-pwd  |    XF:nt-adminuserpw  |    XF:nt-guestuserpw  |    XF:nt-accountuserpw  |    XF:nt-operator-userpw  |    XF:nt-service-user-pwd  |    XF:nt-server-oper-user-pwd  |    XF:nt-power-user-pwd  |    XF:nt-backup-operator-userpwd  |    XF:nt-disabled-account-userpwd  |    Christey> This candidate is affected by the CD:CF-PASS content decision,  |    which determines the appropriate level of abstraction to  |    use for password problems.  CD:CF-PASS needs to be accepted  |    by the Editorial Board before this candidate can be  |    converted into a CVE entry; the final version of CD:CF-PASS  |    may require using a different LOA than this candidate is  |    currently using."
CVE-1999-0504,Candidate,"A Windows NT local user or administrator account has a default, null, blank, or missing password.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0504",Proposed (19990714),"   ACCEPT(4) Baker, Meunier, Northcutt, Shostack  |     MODIFY(1) Frech  |     REVIEWING(1) Christey","Frech> XF:nt-guestblankpw  |    XF:nt-adminblankpw  |    XF:nt-adminnopw  |    XF:nt-usernopw  |    XF:nt-guestnopw  |    XF:nt-accountblankpw  |    XF:nt-nopw  |    XF:nt-operator-blankpwd  |    XF:nt-server-oper-blank-pwd  |    XF:nt-power-user-blankpwd  |    XF:nt-backup-operator-blankpwd  |    XF:nt-disabled-account-blankpwd  |    Christey> This candidate is affected by the CD:CF-PASS content decision,  |    which determines the appropriate level of abstraction to  |    use for password problems.  CD:CF-PASS needs to be accepted  |    by the Editorial Board before this candidate can be  |    converted into a CVE entry; the final version of CD:CF-PASS  |    may require using a different LOA than this candidate is  |    currently using."
CVE-1999-0505,Candidate,"A Windows NT domain user or administrator account has a guessable password.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0505",Proposed (19990714),"   ACCEPT(4) Baker, Meunier, Northcutt, Shostack  |     MODIFY(1) Frech","Frech> XF:nt-guessed-domain-userpwd  |    XF:nt-guessed-domain-guestpwd  |    XF:nt-guessed-domain-adminpwd  |    XF:nt-domain-userpwd  |    XF:nt-domain-admin-userpwd  |    XF:nt-domain-guest-userpwd  |    XF:win2k-certpub-usrpwd  |    XF:win2k-dhcpadm-usrpwd  |    XF:win2k-dnsadm-usrpwd  |    XF:win2k-entadm-usrpwd  |    XF:win2k-schema-usrpwd  |    XF:win2k-guessed-certpub  |    XF:win2k-guessed-dhcpadm  |    XF:win2k-guessed-dnsadm  |    XF:win2k-guessed-entadm  |    XF:win2k-guessed-schema"
CVE-1999-0506,Candidate,"A Windows NT domain user or administrator account has a default, null, blank, or missing password.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0506",Proposed (19990714),"   ACCEPT(4) Baker, Meunier, Northcutt, Shostack  |     MODIFY(1) Frech","Frech> XF:nt-domain-admin-blankpwd  |    XF:nt-domain-admin-nopwd  |    XF:nt-domain-guest-blankpwd  |    XF:nt-domain-guest-nopwd  |    XF:nt-domain-user-blankpwd  |    XF:nt-domain-user-nopwd  |    XF:win2k-certpub-blnkpwd  |    XF:win2k-dhcpadm-blnkpwd  |    XF:win2k-dnsadm-blnkpwd  |    XF:win2k-entadm-blnkpwd  |    XF:win2k-schema-blnkpwd"
CVE-1999-0507,Candidate,"An account on a router, firewall, or other network device has a guessable password.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0507",Proposed (19990714),"   ACCEPT(4) Baker, Meunier, Northcutt, Shostack  |     MODIFY(1) Frech","Frech> XF:firewall-tisopen  |    XF:firewall-raptoropen  |    XF:firewall-msopen  |    XF:firewall-checkpointopen  |    XF:firewall-ciscoopen"
CVE-1999-0508,Candidate,"An account on a router, firewall, or other network device has a default, null, blank, or missing password.","MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0508",Proposed (19990714),"   ACCEPT(4) Baker, Meunier, Northcutt, Shostack  |     MODIFY(1) Frech  |     NOOP(1) Christey","Frech> Note: Because the distinction between network hardware and software is not  |    distinct,   |    the term 'network device' was liberally interpreted. Feel free to reject any  |    of the  |    below terms.  |    XF:default-netranger  |    XF:cayman-gatorbox  |    XF:breezecom-default-passwords  |    XF:default-portmaster  |    XF:wingate-unpassworded  |    XF:netopia-unpassworded  |    XF:default-bay-switches  |    XF:motorola-cable-default-pass  |    XF:default-flowpoint  |    XF:qms-2060-no-root-password  |    XF:avirt-ras-password  |    XF:webtrends-rtp-serv-install-password  |    XF:cisco-bruteforce  |    XF:cisco-bruteadmin  |    XF:sambar-server-defaults  |    XF:management-pfcuser  |    XF:http-cgi-wwwboard-default  |    Christey> DELREF XF:avirt-ras-password - does not fit CVE-1999-0508."
CVE-1999-0509,Candidate,"Perl, sh, csh, or other shell interpreters are installed in the cgi-bin directory on a WWW site, which allows remote attackers to execute arbitrary commands.","CERT:CA-96.11   |   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/146",Modified (20000114),"   ACCEPT(2) Northcutt, Wall  |     MODIFY(1) Frech  |     NOOP(1) Baker  |     REVIEWING(1) Christey","Christey> What is the right level of abstraction to use here?  Should  |    we combine all possible interpreters into a single entry,  |    or have a different entry for each one?  I've often seen  |    Perl separated from other interpreters - is it included  |    by default in some Windows web server configurations?  |    Christey> Add tcsh, zsh, bash, rksh, ksh, ash, to support search.  |    Frech> XF:http-cgi-vuln(146)"
CVE-1999-0510,Candidate,"A router or firewall allows source routed packets from arbitrary hosts.","MISC:https://www.cve.org/CVERecord?id=CVE-1999-0510",Proposed (19990726),"   ACCEPT(2) Baker, Northcutt  |     MODIFY(1) Frech","Frech> XF:source-routing"
